symbol;datetime;open;high;low;close;volume;symbol_id
ETHUSDT;21/08/21 3:30;3266.4;3281;3264.8;3272.77;14700.123;334
ETHUSDT;21/08/21 3:45;3272.77;3284.51;3272;3278.78;15413.85;334
ETHUSDT;21/08/21 4:00;3278.78;3279.84;3262;3264.4;13715.199;334
ETHUSDT;21/08/21 4:15;3264.4;3273.79;3257.19;3271.38;16758.07;334
ETHUSDT;21/08/21 4:30;3271.39;3282;3268.71;3271.67;16722.252;334
ETHUSDT;21/08/21 4:45;3271.66;3283.79;3271.63;3272.28;13447.646;334
ETHUSDT;21/08/21 5:00;3272.28;3304.18;3267.81;3297.79;56951.37;334
ETHUSDT;21/08/21 5:15;3297.79;3313.2;3290;3295.27;39778.168;334
ETHUSDT;21/08/21 5:30;3295.28;3301.38;3285.39;3290.46;19168.35;334
ETHUSDT;21/08/21 5:45;3290.55;3296.85;3286.2;3291.4;13604.715;334
ETHUSDT;21/08/21 6:00;3291.39;3292.46;3274.73;3285.7;21554.826;334
ETHUSDT;21/08/21 6:15;3285.7;3291.87;3278;3288.82;16613.79;334
ETHUSDT;21/08/21 6:30;3288.82;3288.82;3276.5;3283.03;11174.317;334
ETHUSDT;21/08/21 6:45;3283.03;3283.03;3272.02;3278.64;11762.311;334
ETHUSDT;21/08/21 7:00;3278.63;3281.46;3267.69;3277.18;14221.655;334
ETHUSDT;21/08/21 7:15;3277.19;3291.9;3274.74;3287.29;19319.879;334
ETHUSDT;21/08/21 7:30;3287.29;3291.54;3283.27;3289.01;10685.066;334
ETHUSDT;21/08/21 7:45;3289.01;3298;3288.77;3296.5;16625.127;334
ETHUSDT;21/08/21 8:00;3296.51;3313.9;3290.17;3309.82;29991.766;334
ETHUSDT;21/08/21 8:15;3309.82;3312.81;3286.2;3289.79;32800.67;334
ETHUSDT;21/08/21 8:30;3289.78;3293.72;3282.9;3292.79;14224.425;334
ETHUSDT;21/08/21 8:45;3292.8;3292.8;3282.29;3288.89;10429.06;334
ETHUSDT;21/08/21 9:00;3288.89;3292;3278.63;3288.09;16304.043;334
ETHUSDT;21/08/21 9:15;3288.09;3290.26;3281;3284.49;11060.597;334
ETHUSDT;21/08/21 9:30;3284.49;3284.49;3275.13;3282.5;13940.374;334
ETHUSDT;21/08/21 9:45;3282.49;3292;3280.11;3283.5;11027.495;334
ETHUSDT;21/08/21 10:00;3283.5;3292;3278.25;3287.62;13588.67;334
ETHUSDT;21/08/21 10:15;3287.65;3296.31;3287.56;3288.79;15222.362;334
ETHUSDT;21/08/21 10:30;3288.78;3295;3284.7;3292.57;8202.089;334
ETHUSDT;21/08/21 10:45;3292.57;3310;3281.8;3299.63;46022.684;334
ETHUSDT;21/08/21 11:00;3299.63;3307.05;3241.1;3254.56;121876.18;334
